iter	f_val	grad_norm	x0	x1
514	0.01566754	0.12444185	0.87494629	0.76499148
515	0.01558865	0.12409419	0.87526150	0.76554462
516	0.01551019	0.12374779	0.87557573	0.76609626
517	0.01543218	0.12340264	0.87588900	0.76664639
518	0.01535460	0.12305874	0.87620131	0.76719503
519	0.01527745	0.12271607	0.87651266	0.76774217
520	0.01520074	0.12237464	0.87682305	0.76828783
521	0.01512445	0.12203444	0.87713249	0.76883200
522	0.01504859	0.12169546	0.87744098	0.76937470
523	0.01497315	0.12135769	0.87774853	0.76991592
524	0.01489813	0.12102114	0.87805514	0.77045568
525	0.01482352	0.12068578	0.87836081	0.77099398
526	0.01474933	0.12035163	0.87866554	0.77153082
527	0.01467555	0.12001866	0.87896935	0.77206620
528	0.01460218	0.11968688	0.87927224	0.77260015
529	0.01452922	0.11935628	0.87957420	0.77313264
530	0.01445666	0.11902686	0.87987525	0.77366371
531	0.01438450	0.11869860	0.88017538	0.77419334
532	0.01431274	0.11837151	0.88047460	0.77472154
